Unnamed: 0,scrape_id,latitude,neighbourhood_cleansed,property_type,host_since,host_response_time,host_acceptance_rate,host_listings_count,host_has_profile_pic,accommodates,bathrooms_text,beds,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,availability_30,availability_90,availability_eoy,number_of_reviews_ltm,number_of_reviews_ly,review_scores_rating,review_scores_cleanliness,review_scores_location
6479,20250612050654,41.38098,el Raval,Room in hotel,2018-11-23,within an hour,99%,3.0,t,2,1 bath,,,365,2.0,365.0,9.0,27,86,184,80,64,4.78,4.83,4.93
6480,20250612050654,41.37986,el Barri Gòtic,Room in hotel,2018-11-23,within an hour,99%,3.0,t,3,1 bath,,,365,2.0,365.0,177.7,10,41,143,21,15,4.76,4.88,4.76
6481,20250612050654,41.38527,l'Antiga Esquerra de l'Eixample,Room in hotel,2019-11-08,within a day,100%,1.0,t,2,1 bath,1.0,$170.00,1125,1.0,7.0,7.0,0,0,0,0,0,4.0,4.0,5.0
6482,20250612050654,41.37692,el Raval,Private room in rental unit,2019-12-06,,,1.0,t,2,1 bath,,,3,1.0,3.0,3.0,0,0,0,0,0,,,
6483,20250612050654,41.39068,la Dreta de l'Eixample,Entire rental unit,2012-07-03,within an hour,97%,43.0,t,5,1 bath,5.0,$350.00,365,28.0,1125.0,1125.0,24,84,187,0,0,5.0,4.5,5.0
6484,20250612050654,41.38701,la Dreta de l'Eixample,Entire loft,2019-12-24,within a few hours,98%,1.0,t,2,1 bath,1.0,$229.00,1125,4.0,1125.0,1125.0,3,38,122,34,36,4.9,4.91,4.98
6485,20250612050654,41.39922,el Poblenou,Private room in guest suite,2019-12-24,,,1.0,t,4,2 shared baths,,,1125,1.0,1125.0,1125.0,0,0,0,0,0,5.0,4.5,5.0
6486,20250612050654,41.40851,el Camp de l'Arpa del Clot,Private room in rental unit,2019-12-24,,,1.0,t,2,1 bath,,,1125,1.0,1125.0,1125.0,0,0,0,0,0,,,
6487,20250612050654,41.3951,el Fort Pienc,Private room in rental unit,2016-06-13,within an hour,97%,10.0,t,1,2 shared baths,1.0,$25.00,190,32.0,190.0,190.0,0,0,0,2,1,4.8,5.0,5.0
6488,20250612050654,41.39322,la Dreta de l'Eixample,Private room in rental unit,2019-12-26,within a few hours,100%,5.0,t,1,2 shared baths,1.0,$25.00,190,32.0,190.0,190.0,23,32,125,3,1,4.33,4.83,4.83
6489,20250612050654,41.38792,"Sant Pere, Santa Caterina i la Ribera",Private room in rental unit,2017-05-17,within an hour,98%,2.0,t,3,2 shared baths,1.0,$151.00,10,4.0,1125.0,1125.0,21,74,173,18,27,4.66,4.44,4.94
6490,20250612050654,41.38617,el Barri Gòtic,Private room in rental unit,2017-05-17,within an hour,98%,2.0,t,3,2 shared baths,1.0,$153.00,7,4.0,1125.0,1125.0,26,86,189,16,25,4.63,4.45,4.92
6491,20250612050654,41.40572,la Sagrada Família,Entire rental unit,2012-07-03,within an hour,97%,43.0,t,5,2 baths,,,1125,28.0,1125.0,1125.0,0,0,0,1,0,4.0,4.0,4.67
6492,20250612050654,41.40389,el Camp d'en Grassot i Gràcia Nova,Entire rental unit,2012-07-03,within an hour,97%,43.0,t,4,2 baths,4.0,$350.00,1125,28.0,1125.0,1125.0,0,60,60,0,0,4.0,3.5,5.0
6493,20250612050654,41.39471,la Dreta de l'Eixample,Private room in rental unit,2011-12-22,within an hour,100%,1.0,t,2,1.5 shared baths,1.0,$110.00,1125,7.0,1125.0,1125.0,16,18,18,14,13,4.75,4.66,4.98
6494,20250612050654,41.38367,el Raval,Private room in rental unit,2019-12-07,,,1.0,t,2,1 shared bath,,,1125,2.0,1125.0,1125.0,0,0,0,0,0,,,
6495,20250612050654,41.38676,el Barri Gòtic,Private room in rental unit,2019-12-08,,,1.0,t,1,1 shared bath,,,6,2.0,6.0,6.0,0,0,0,0,0,,,
6496,20250612050654,41.38666,les Corts,Private room in rental unit,2019-12-08,,,1.0,t,2,1.5 shared baths,,,6,3.0,6.0,6.0,0,0,0,0,0,,,
6497,20250612050654,41.3933,el Parc i la Llacuna del Poblenou,Entire condo,2014-02-06,within a few hours,75%,3.0,t,2,1 bath,,,1125,33.0,1125.0,1125.0,0,0,0,0,0,5.0,4.67,5.0
